,Player,scaled_championships,scaled_reg_mvp,scaled_ws,scaled_ppg,scaled_fin_mvp,scaled_gp,scaled_mpg,scaled_rpg,scaled_apg,scaled_per,scaled_bpm,scaled_vorp,scaled_all_star,scaled_anba,GOAT SCORE,GOAT SCORE2
2,Bill Russell,1,0.8,0.542359462,0,0,0.087323944,0.752990852,0.972465582,0.067294751,0.187780773,0,0,0.611111111,0.714285714,0.564194584,0.633150498
0,Michael Jordan,0.375,0.8,1,1,1,0.24084507,0.469387755,0,0.200538358,1,1,0.852209112,0.722222222,0.714285714,0.645440218,0.629628758
1,Kareem Abdul-Jabbar,0.375,1,0.825019794,0.61973775,0.2,0.928169014,0.368050669,0.267209011,0,0.700808625,0.58816568,0.590732926,1,1,0.590358222,0.629459065
4,Wilt Chamberlain,0,0.6,0.980205859,0.996549344,0,0.202816901,1,1,0.091520861,0.840071878,0,0,0.666666667,0.642857143,0.45459329,0.555212406
3,LeBron James,0,0.6,0.873317498,0.7915804,0.4,0.502816901,0.480647431,0.032540676,0.488559892,0.964959569,0.966863905,1,0.833333333,1,0.491060433,0.489516108
5,Magic Johnson,0.25,0.4,0.797307997,0.26984127,0.4,0.007042254,0.358902182,0.020650814,1,0.658580413,0.801183432,0.541210921,0.611111111,0.642857143,0.425553416,0.433987451
6,Tim Duncan,0.25,0.2,0.672209026,0.234644582,0.4,0.691549296,0.171710063,0.245932416,0,0.668463612,0.575147929,0.637240548,0.777777778,1,0.358984925,0.361400876
14,Bob Pettit,0,0.2,0.701504355,0.740510697,0,0,0.503870514,0.582603254,0,0.769092543,0,0,0.555555556,0.714285714,0.267678085,0.339516605
7,Larry Bird,0,0.4,0.625494854,0.597653554,0.2,0,0.479239972,0.193366708,0.34858681,0.603773585,0.724260355,0.517698734,0.611111111,0.642857143,0.331643868,0.339329676
11,Sam Jones,0.875,0,0.460807601,0.142167012,0,0,0,0,0,0.170709793,0,0,0.222222222,0.142857143,0.289722274,0.337251837
8,Karl Malone,0,0.2,0.642121932,0.648033126,0,0.809859155,0.391977481,0.20212766,0,0.639712489,0.518343195,0.705365602,0.722222222,0.928571429,0.313994037,0.335019295
18,Oscar Robertson,0,0,0.654790182,0.693581781,0,0.195774648,0.746657284,0.036921151,0.773889637,0.574123989,0,0,0.611111111,0.714285714,0.251401835,0.31574888
9,Shaquille O'Neal,0.125,0,0.66429137,0.556245687,0.4,0.430985915,0.220971147,0.246558198,0,0.867026056,0.518343195,0.50279907,0.777777778,0.928571429,0.304851333,0.314887931
12,Chris Paul,0,0,0.946951702,0.195997239,0,0.157746479,0.232934553,0,0.769851952,0.7475292,0.807100592,0.589957799,0.5,0.5,0.276297565,0.308171876
13,David Robinson,0,0,0.997624703,0.374741201,0,0.121126761,0.220267417,0.233416771,0,0.844564241,0.79408284,0.558349841,0.5,0.642857143,0.267874622,0.30584174
10,Kobe Bryant,0.25,0,0.36658749,0.645962733,0.2,0.626760563,0.319493315,0,0.125168237,0.549865229,0.447337278,0.54267505,0.944444444,1,0.293754388,0.2928503
24,Jerry West,0,0,0.706254949,0.786749482,0,0.043661972,0.538353272,0,0.394347241,0.548966757,0,0,0.722222222,0.785714286,0.226357383,0.291738461
19,Moses Malone,0,0.4,0.393507522,0.324361629,0,0.78028169,0.168191414,0.334793492,0,0.469002695,0.100591716,0.241236758,0.666666667,0.5,0.248821593,0.282419577
