,Player,No. of Championships,mvp_count,WS/48,PPG,fmvp_count,G,MPG,RPG,APG,PER,BPM,VORP,No. of All Star Selections,All_NBA,SPG,BPG,midpoint,scaled_championships,scaled_reg_mvp,scaled_per,scaled_vorp,scaled_bpm,scaled_ws,scaled_all_star,scaled_ppg,scaled_gp,scaled_mpg,scaled_rpg,scaled_apg,scaled_fin_mvp,scaled_anba,scaled_spg,scaled_bpg,GOAT_SCORE
0,Michael Jordan,6.0,5.0,0.2505,30.12,6.0,1072.0,38.26,0.0,5.25,27.91,9.22,116.08,14.0,11.0,2.35,0.83,1994.0,0.8571428571428571,0.8333333333333333,1.0,0.8712098468928249,1.0,1.0,0.7368421052631579,1.0,0.6654252017380509,0.9304474708171205,0.0,0.4691689008042895,1.0,0.7333333333333333,0.8671586715867159,0.23714285714285713,82.38046823538494
1,Kareem Abdul-Jabbar,6.0,6.0,0.2284,24.61,2.0,1560.0,36.82,11.18,0.0,24.58,5.74,85.72,19.0,15.0,0.0,2.57,1979.5,0.8571428571428571,1.0,0.8806879254747403,0.6433503452416691,0.6225596529284164,0.9117764471057883,1.0,0.8170650730411686,0.9683426443202979,0.8954280155642024,0.8078034682080926,0.0,0.3333333333333333,1.0,0.0,0.7342857142857142,78.18689303891058
2,LeBron James,3.0,4.0,0.2345,27.1,3.0,1258.0,38.42,7.43,7.39,27.52,8.94,133.24,16.0,15.0,1.6,0.76,2012.0,0.42857142857142855,0.6666666666666666,0.986026513794339,1.0,0.9696312364425161,0.9361277445109779,0.8421052631578947,0.899734395750332,0.7808814400993171,0.9343385214007782,0.536849710982659,0.6604110813226094,0.5,1.0,0.5904059040590406,0.21714285714285714,67.44210102899227
3,Magic Johnson,5.0,3.0,0.2249,19.54,3.0,906.0,36.69,7.24,11.19,24.11,7.54,79.97,12.0,10.0,1.9,0.0,1988.0,0.7142857142857142,0.5,0.8638480831243283,0.6001951365956169,0.8177874186550975,0.8978043912175647,0.631578947368421,0.648738379814077,0.5623836126629422,0.8922665369649805,0.5231213872832371,1.0,0.5,0.6666666666666666,0.7011070110701106,0.0,66.49569286609365
4,Tim Duncan,5.0,2.0,0.2091,19.03,3.0,1392.0,34.03,10.84,0.0,24.22,5.63,91.12,15.0,15.0,0.0,2.17,2007.0,0.7142857142857142,0.3333333333333333,0.8677893228233609,0.6838787151005704,0.6106290672451192,0.8347305389221557,0.7894736842105263,0.6318061088977424,0.8640595903165735,0.8275778210116732,0.7832369942196532,0.0,0.5,1.0,0.0,0.62,60.591808408143436
5,Larry Bird,3.0,3.0,0.2032,24.29,2.0,0.0,38.4,10.0,6.35,23.5,6.89,77.24,12.0,10.0,1.73,0.84,1986.0,0.42857142857142855,0.5,0.841992117520602,0.579705794055839,0.747288503253796,0.8111776447105787,0.631578947368421,0.8064409030544488,0.0,0.933852140077821,0.7225433526011561,0.5674709562109026,0.3333333333333333,0.6666666666666666,0.6383763837638377,0.24,55.93763242616112
6,Shaquille O'Neal,4.0,1.0,0.2081,23.69,3.0,1207.0,34.73,10.85,0.0,26.43,5.15,75.51,15.0,14.0,0.0,2.26,2002.0,0.5714285714285714,0.16666666666666666,0.9469724113221069,0.5667217051936355,0.5585683297180043,0.8307385229540918,0.7894736842105263,0.7865205843293492,0.7492240844196152,0.844601167315175,0.7839595375722543,0.0,0.5,0.9333333333333333,0.0,0.6457142857142856,54.41810687757383
7,Kobe Bryant,5.0,1.0,0.1705,24.99,2.0,1346.0,36.13,0.0,4.69,22.9,4.55,80.14,18.0,15.0,1.44,0.0,2006.5,0.7142857142857142,0.16666666666666666,0.8204944464349696,0.6014710297208045,0.4934924078091106,0.6806387225548902,0.9473684210526315,0.8296812749003983,0.8355058969584109,0.8786478599221791,0.0,0.41912421805183203,0.3333333333333333,1.0,0.5313653136531366,0.0,53.835580174347605
8,David Robinson,2.0,1.0,0.2502,21.06,0.0,987.0,34.72,10.64,0.0,26.18,7.48,81.96,10.0,10.0,1.41,2.99,1996.5,0.2857142857142857,0.16666666666666666,0.93801504836976,0.6151305914139897,0.8112798264642082,0.9988023952095807,0.5263157894736842,0.699203187250996,0.6126629422718808,0.8443579766536965,0.7687861271676302,0.0,0.0,0.6666666666666666,0.5202952029520295,0.8542857142857143,48.7276511829654
9,Scottie Pippen,6.0,0.0,0.1462,16.08,0.0,1178.0,34.86,0.0,5.21,18.63,4.09,63.18,7.0,7.0,1.96,0.8,1996.0,0.8571428571428571,0.0,0.6675026872088857,0.4741819273491443,0.44360086767895873,0.5836327345309381,0.3684210526315789,0.5338645418326693,0.7312228429546865,0.8477626459143969,0.0,0.46559428060768543,0.0,0.4666666666666667,0.7232472324723247,0.22857142857142856,48.410285318015376
