,Player,No. of Championships,mvp_count,WS/48,PPG,fmvp_count,MPG,RPG,APG,PER,BPM,VORP,No. of All Star Selections,All_NBA,SPG,BPG,Usg%,PTS,fmvp_pct,midpoint,scaled_cs,scaled_reg_mvp,scaled_per,scaled_ws,scaled_all_star,scaled_ppg,scaled_mpg,scaled_rpg,scaled_apg,scaled_fin_mvp,scaled_anba,scaled_pts,GOAT_SCORE
0,Bill Russell,11.0,5.0,0.1927,0.0,0.0,42.29,22.45,4.26,18.87,0.0,0.0,12.0,11.0,0.0,0.0,0.0,14522.0,0.0,1963.0,1.0,1.0,0.7221584385763491,0.7770161290322581,0.8571428571428571,0.0,0.9233624454148472,0.980777632153779,0.4479495268138801,0.0,0.9166666666666666,0.46220439861230467,79.99674476086267
1,Wilt Chamberlain,2.0,4.0,0.248,30.07,1.0,45.8,22.89,4.44,26.13,0.0,0.0,13.0,10.0,0.0,0.0,0.0,31419.0,0.5,1966.5,0.18181818181818182,0.8,1.0,1.0,0.9285714285714285,0.9999999999999999,1.0,1.0,0.46687697160883285,0.5,0.8333333333333333,1.0,71.07702165867782
2,Oscar Robertson,1.0,1.0,0.2069,25.68,0.0,42.2,7.5,9.51,23.17,0.0,0.0,12.0,11.0,0.0,0.0,0.0,26710.0,0.0,1967.5,0.09090909090909091,0.2,0.8867202449292003,0.834274193548387,0.8571428571428571,0.8540073162620552,0.9213973799126639,0.32765399737876805,1.0,0.0,0.9166666666666666,0.8501225373181833,51.05175848675083
3,Bob Pettit,1.0,2.0,0.2128,26.36,0.0,38.75,16.22,0.0,25.34,0.0,0.0,11.0,11.0,0.0,0.0,0.0,20880.0,0.0,1960.0,0.09090909090909091,0.4,0.9697665518561042,0.8580645161290322,0.7857142857142857,0.87662121715996,0.8460698689956333,0.7086063783311489,0.0,0.0,0.9166666666666666,0.6645660269263822,51.01483628927356
4,Bob Cousy,6.0,1.0,0.1387,18.36,0.0,35.28,0.0,7.53,19.76,0.0,0.0,13.0,12.0,0.0,0.0,0.0,16960.0,0.0,1960.5,0.5454545454545454,0.2,0.7562189054726369,0.559274193548387,0.9285714285714285,0.610575324243432,0.7703056768558953,0.0,0.7917981072555205,0.0,1.0,0.5398007575034215,47.759796971493245
5,John Havlicek,8.0,0.0,0.1361,20.78,1.0,36.59,0.0,4.81,17.53,0.0,0.0,13.0,11.0,0.0,0.0,0.0,26395.0,0.125,1970.5,0.7272727272727273,0.0,0.6708763872942979,0.5487903225806452,0.9285714285714285,0.6910542068506818,0.7989082969432316,0.0,0.5057833859095688,0.5,0.9166666666666666,0.8400967567395525,44.97022050965735
6,Jerry West,1.0,0.0,0.2134,27.03,1.0,39.24,0.0,6.69,22.89,0.0,0.0,14.0,12.0,0.0,0.0,0.0,25192.0,1.0,1967.5,0.09090909090909091,0.0,0.876004592422503,0.8604838709677419,1.0,0.8989025606917193,0.8567685589519652,0.0,0.7034700315457414,0.5,1.0,0.8018078232916389,43.393854042474345
7,Elgin Baylor,0.0,0.0,0.1476,27.36,0.0,40.03,13.55,4.31,22.69,0.0,0.0,11.0,10.0,0.0,0.0,0.0,23149.0,0.0,1965.5,0.0,0.0,0.8683505549177192,0.5951612903225807,0.7857142857142857,0.909876953774526,0.8740174672489084,0.5919615552643076,0.4532071503680336,0.0,0.8333333333333333,0.7367834749673765,40.09044272339759
8,Dave Cowens,2.0,1.0,0.1401,17.64,0.0,38.6,13.63,3.8,17.02,2.27,21.46,8.0,3.0,1.14,0.93,0.0,13516.0,0.0,1977.0,0.18181818181818182,0.2,0.6513585916570992,0.5649193548387097,0.5714285714285714,0.5866311938809444,0.8427947598253276,0.5954565312363478,0.3995793901156677,0.0,0.25,0.4301855565103918,39.943164788534006
9,Neil Johnston,1.0,0.0,0.2413,19.42,0.0,35.46,11.35,0.0,24.68,0.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,1955.5,0.09090909090909091,0.0,0.9445082280903178,0.9729838709677419,0.42857142857142855,0.645826405054872,0.7742358078602621,0.49584971603320227,0.0,0.0,0.41666666666666663,0.0,38.54347415175564
10,Rick Barry,1.0,0.0,0.1622,24.78,1.0,37.4,0.0,4.85,21.04,3.0,24.76,12.0,10.0,1.99,0.0,25.5,25279.0,1.0,1973.0,0.09090909090909091,0.0,0.805204745503253,0.6540322580645161,0.8571428571428571,0.8240771533089458,0.8165938864628821,0.0,0.5099894847528916,0.5,0.8333333333333333,0.8045768484038321,37.425506362910625
11,Dolph Schayes,1.0,0.0,0.1922,18.51,0.0,34.41,12.08,0.0,21.98,0.0,0.0,12.0,12.0,0.0,0.0,0.0,18438.0,0.0,1957.0,0.09090909090909091,0.0,0.8411787217757368,0.775,0.8571428571428571,0.615563684735617,0.7513100436681223,0.527741371778069,0.0,0.0,1.0,0.5868423565358541,37.22646451240341
